
Contrast: TPT_Semakau 

       average        sd  ratio       ava       avb cumsum
4    5.457e-02 0.0397293 1.3736 0.5424741 0.5411159 0.1611
17   2.570e-02 0.0222314 1.1559 0.0377563 0.0451398 0.2370
8    2.324e-02 0.0207180 1.1217 0.0501778 0.0266848 0.3056
18   1.923e-02 0.0144713 1.3289 0.0739536 0.0853489 0.3624
11   1.483e-02 0.0227594 0.6514 0.0192259 0.0155643 0.4062
38   1.405e-02 0.0107960 1.3013 0.0389478 0.0310610 0.4477
49   1.305e-02 0.0277316 0.4705 0.0171008 0.0114042 0.4862
24   1.167e-02 0.0087591 1.3323 0.0304398 0.0213658 0.5206
19   1.102e-02 0.0080109 1.3757 0.0187176 0.0270730 0.5532
10   1.086e-02 0.0096846 1.1211 0.0141216 0.0202011 0.5852
9    1.010e-02 0.0098529 1.0253 0.0191243 0.0187648 0.6151
31   8.323e-03 0.0107201 0.7764 0.0168426 0.0023281 0.6396
36   7.654e-03 0.0097079 0.7884 0.0077020 0.0109352 0.6622
51   6.894e-03 0.0098735 0.6982 0.0052468 0.0113144 0.6826
85   6.736e-03 0.0149026 0.4520 0.0055154 0.0089592 0.7025
29   6.491e-03 0.0075592 0.8586 0.0109513 0.0070066 0.7216
42   6.294e-03 0.0089805 0.7008 0.0069901 0.0075264 0.7402
58   5.801e-03 0.0081452 0.7122 0.0038441 0.0097738 0.7573
41   5.385e-03 0.0062026 0.8682 0.0096503 0.0028238 0.7732
30   5.342e-03 0.0122921 0.4346 0.0023097 0.0090156 0.7890
14   5.108e-03 0.0052517 0.9726 0.0073884 0.0067679 0.8041
26   4.847e-03 0.0086165 0.5626 0.0045205 0.0064680 0.8184
1404 4.085e-03 0.0065569 0.6230 0.0010243 0.0077040 0.8305
15   3.489e-03 0.0047163 0.7397 0.0029454 0.0053984 0.8408
87   3.405e-03 0.0099084 0.3436 0.0005975 0.0063209 0.8508
1263 3.230e-03 0.0072013 0.4486 0.0064607 0.0000000 0.8604
32   2.961e-03 0.0054452 0.5437 0.0023154 0.0042677 0.8691
718  2.558e-03 0.0038929 0.6572 0.0034213 0.0026083 0.8767
185  2.555e-03 0.0058851 0.4342 0.0038496 0.0015766 0.8842
62   2.477e-03 0.0059189 0.4185 0.0015165 0.0037132 0.8915
57   2.457e-03 0.0036642 0.6706 0.0010669 0.0044293 0.8988
1118 2.409e-03 0.0041988 0.5738 0.0037868 0.0016037 0.9059
1484 2.127e-03 0.0041406 0.5137 0.0019355 0.0026708 0.9122
1375 2.110e-03 0.0067038 0.3148 0.0000000 0.0042206 0.9184
416  2.107e-03 0.0057257 0.3679 0.0006638 0.0036700 0.9246
65   1.984e-03 0.0024232 0.8186 0.0032297 0.0013247 0.9305
21   1.869e-03 0.0047441 0.3939 0.0032021 0.0006692 0.9360
1795 1.815e-03 0.0037856 0.4795 0.0006661 0.0032065 0.9413
939  1.740e-03 0.0033954 0.5124 0.0025757 0.0012305 0.9465
224  1.630e-03 0.0051779 0.3148 0.0000000 0.0032599 0.9513
1132 1.567e-03 0.0027287 0.5742 0.0031336 0.0000000 0.9559
46   1.474e-03 0.0044414 0.3318 0.0029474 0.0000000 0.9603
202  1.295e-03 0.0027962 0.4631 0.0000000 0.0025900 0.9641
878  1.255e-03 0.0028128 0.4462 0.0017848 0.0009067 0.9678
1025 1.001e-03 0.0021666 0.4622 0.0000000 0.0020029 0.9708
1659 9.880e-04 0.0021996 0.4491 0.0000000 0.0019759 0.9737
208  9.475e-04 0.0030100 0.3148 0.0000000 0.0018950 0.9765
33   8.731e-04 0.0026312 0.3318 0.0017462 0.0000000 0.9791
229  8.481e-04 0.0025560 0.3318 0.0016962 0.0000000 0.9816
1789 8.377e-04 0.0026613 0.3148 0.0000000 0.0016755 0.9840
35   6.970e-04 0.0021006 0.3318 0.0013941 0.0000000 0.9861
1481 6.624e-04 0.0021042 0.3148 0.0000000 0.0013247 0.9880
1519 6.486e-04 0.0020605 0.3148 0.0000000 0.0012972 0.9900
114  5.761e-04 0.0017361 0.3318 0.0011521 0.0000000 0.9917
858  5.422e-04 0.0016340 0.3318 0.0010843 0.0000000 0.9933
92   4.279e-04 0.0008968 0.4772 0.0008559 0.0000000 0.9945
27   4.224e-04 0.0009822 0.4301 0.0002921 0.0006059 0.9958
448  3.238e-04 0.0010287 0.3148 0.0000000 0.0006477 0.9967
1958 2.807e-04 0.0008916 0.3148 0.0000000 0.0005613 0.9976
265  2.700e-04 0.0008138 0.3318 0.0005401 0.0000000 0.9984
45   2.589e-04 0.0007802 0.3318 0.0005178 0.0000000 0.9991
1680 2.257e-04 0.0006802 0.3318 0.0004514 0.0000000 0.9998
12   7.302e-05 0.0002201 0.3318 0.0001460 0.0000000 1.0000
43   0.000e+00 0.0000000    NaN 0.0000000 0.0000000 1.0000
53   0.000e+00 0.0000000    NaN 0.0000000 0.0000000 1.0000
63   0.000e+00 0.0000000    NaN 0.0000000 0.0000000 1.0000
78   0.000e+00 0.0000000    NaN 0.0000000 0.0000000 1.0000
458  0.000e+00 0.0000000    NaN 0.0000000 0.0000000 1.0000
910  0.000e+00 0.0000000    NaN 0.0000000 0.0000000 1.0000
1184 0.000e+00 0.0000000    NaN 0.0000000 0.0000000 1.0000
1210 0.000e+00 0.0000000    NaN 0.0000000 0.0000000 1.0000
1279 0.000e+00 0.0000000    NaN 0.0000000 0.0000000 1.0000
1531 0.000e+00 0.0000000    NaN 0.0000000 0.0000000 1.0000
1644 0.000e+00 0.0000000    NaN 0.0000000 0.0000000 1.0000
1773 0.000e+00 0.0000000    NaN 0.0000000 0.0000000 1.0000
1782 0.000e+00 0.0000000    NaN 0.0000000 0.0000000 1.0000
1890 0.000e+00 0.0000000    NaN 0.0000000 0.0000000 1.0000
1900 0.000e+00 0.0000000    NaN 0.0000000 0.0000000 1.0000
1943 0.000e+00 0.0000000    NaN 0.0000000 0.0000000 1.0000
1957 0.000e+00 0.0000000    NaN 0.0000000 0.0000000 1.0000
1962 0.000e+00 0.0000000    NaN 0.0000000 0.0000000 1.0000

Contrast: TPT_Raffles Light House 

       average        sd  ratio       ava       avb cumsum
4    0.0615452 0.0440375 1.3976 0.5424741 0.5729790 0.1786
8    0.0243582 0.0214592 1.1351 0.0501778 0.0377361 0.2493
17   0.0213009 0.0186324 1.1432 0.0377563 0.0290947 0.3112
18   0.0163729 0.0125399 1.3057 0.0739536 0.0760574 0.3587
38   0.0151049 0.0122586 1.2322 0.0389478 0.0197778 0.4025
24   0.0133321 0.0094022 1.4180 0.0304398 0.0211358 0.4412
11   0.0120631 0.0249709 0.4831 0.0192259 0.0072430 0.4763
49   0.0107641 0.0258780 0.4160 0.0171008 0.0056242 0.5075
19   0.0105442 0.0089426 1.1791 0.0187176 0.0142901 0.5381
10   0.0094856 0.0080662 1.1760 0.0141216 0.0172691 0.5656
9    0.0088933 0.0063592 1.3985 0.0191243 0.0221042 0.5914
31   0.0087149 0.0107297 0.8122 0.0168426 0.0036640 0.6167
15   0.0080827 0.0112300 0.7197 0.0029454 0.0156479 0.6402
29   0.0071958 0.0081790 0.8798 0.0109513 0.0075800 0.6611
58   0.0068877 0.0105397 0.6535 0.0038441 0.0120009 0.6811
21   0.0067269 0.0105867 0.6354 0.0032021 0.0119456 0.7006
14   0.0062103 0.0068544 0.9060 0.0073884 0.0088346 0.7186
51   0.0052588 0.0077131 0.6818 0.0052468 0.0076838 0.7339
1263 0.0052050 0.0080276 0.6484 0.0064607 0.0057655 0.7490
41   0.0051898 0.0059799 0.8679 0.0096503 0.0023370 0.7641
224  0.0045821 0.0115864 0.3955 0.0000000 0.0091642 0.7774
1404 0.0042676 0.0078957 0.5405 0.0010243 0.0080231 0.7898
26   0.0041664 0.0075942 0.5486 0.0045205 0.0047653 0.8018
36   0.0041111 0.0088853 0.4627 0.0077020 0.0008669 0.8138
42   0.0039907 0.0094334 0.4230 0.0069901 0.0013848 0.8254
85   0.0037237 0.0088949 0.4186 0.0055154 0.0024464 0.8362
12   0.0031133 0.0132873 0.2343 0.0001460 0.0060952 0.8452
1484 0.0029167 0.0049308 0.5915 0.0019355 0.0047666 0.8537
1118 0.0028850 0.0058744 0.4911 0.0037868 0.0023619 0.8621
46   0.0028498 0.0056213 0.5070 0.0029474 0.0034138 0.8703
62   0.0027113 0.0043324 0.6258 0.0015165 0.0045993 0.8782
30   0.0024121 0.0051409 0.4692 0.0023097 0.0029765 0.8852
878  0.0022881 0.0055568 0.4118 0.0017848 0.0031220 0.8918
65   0.0022799 0.0031046 0.7344 0.0032297 0.0019761 0.8985
185  0.0022553 0.0056934 0.3961 0.0038496 0.0008261 0.9050
718  0.0022388 0.0037090 0.6036 0.0034213 0.0016923 0.9115
229  0.0021140 0.0060915 0.3470 0.0016962 0.0027014 0.9176
57   0.0018657 0.0046368 0.4024 0.0010669 0.0028779 0.9230
939  0.0018317 0.0032462 0.5643 0.0025757 0.0015253 0.9284
202  0.0017562 0.0059002 0.2976 0.0000000 0.0035123 0.9335
1481 0.0017241 0.0052775 0.3267 0.0000000 0.0034483 0.9385
35   0.0016452 0.0031857 0.5164 0.0013941 0.0022555 0.9432
1132 0.0016149 0.0026784 0.6029 0.0031336 0.0002405 0.9479
32   0.0014981 0.0034363 0.4360 0.0023154 0.0008677 0.9523
92   0.0014552 0.0023169 0.6281 0.0008559 0.0023968 0.9565
33   0.0013716 0.0034118 0.4020 0.0017462 0.0011716 0.9605
